Flux 0.11.6
Aqua 0.5.0
MLKernels 0.4.0
ModernGL 1.1.2
WriteVTK 1.9.1
CPLEX 0.7.6
RandomNumbers 1.4.0
Rotations 1.0.2
StatsKit 0.3.0
SumOfSquares 0.4.5
TensorCast 0.3.2
UMAP 0.1.8
Dictionaries 0.3.7
GLMNet 0.6.1
Mads 1.0.8
MySQL 1.1.2
ODBC 1.0.4
OMEinsum 0.3.3
Bridge 0.11.5
CategoricalArrays 0.9.3
ConstraintSolver 0.6.5
Immerse 1.0.1
MarketData 0.13.4
MultivariatePolynomials 0.3.12
NamedArrays 0.9.4
Plotly 0.3.0
RegionTrees 0.3.2
Tulip 0.7.2
YAML 0.4.6
Diana 0.2.0
DocOpt 0.4.2
Eirene 1.3.5
FillArrays 0.11.5
NMF 0.5.0
Trixi 0.3.14
ACME 0.9.4
ClimateTools 0.22.0
DoubleFloats 1.1.16
Fatou 1.1.0
GSL 1.0.1
NLPModels 0.13.2
Reexport 1.0.0
TimeseriesPrediction 0.6.0
LowRankApprox 0.4.3
Rocket 1.3.5
YAAD 0.1.0
Causal 0.3.0
DynamicalBilliards 3.11.4
ECharts 0.5.0
Jusdl 0.2.2
LocalRegistry 0.3.2
Pardiso 0.5.1
Redis 1.0.0
ArchGDAL 0.5.3
Boltzmann 0.7.1
Bootstrap 2.3.1
CSTParser 3.1.0
IterableTables 1.0.0
LLVM 3.6.0
MolecularGraph 0.8.0
NamedDims 0.2.31
ReplMaker 0.2.4
TextUserInterfaces 0.0.1
TopicModelsVB 1.5.1
CartesianGeneticProgramming 0.1.0
CUDAdrv 6.3.0
GeometryTypes 0.8.4
Mjolnir 0.2.1
NetCDF 0.11.3
ReadStat 1.0.2
ResultTypes 3.1.0
StateSpaceRoutines 0.4.0
TensorBoardLogger 0.1.15
AbstractGPs 0.2.17
Atom 0.12.30
EzXML 1.1.0
GeneralizedGenerated 0.2.8
InteractiveChaos 0.12.3
InteractiveDynamics 0.13.4
Ipopt 0.6.5
ParserCombinator 2.0.0
ProximalAlgorithms 0.4.1
RegressionTables 0.5.0
SearchLight 0.22.0
WAV 1.1.0
DataStreams 0.4.2
Geodesy 1.0.1
LabelledArrays 1.5.0
LightXML 0.9.0
PerceptualColourMaps 0.3.3
ComponentArrays 0.8.19
Dashboards 0.2.8
GameZero 0.1.3
Matte 0.2.0
AbstractAlgebra 0.13.6
ClearStacktrace 0.2.2
GeoData 0.3.5
JLBoost 0.1.16
JSServe 1.2.0
NCDatasets 0.11.3
StaticLint 7.0.0
TensorKit 0.9.0
TreeView 0.4.0
ValidatedNumerics 0.11.0
AlgebraicMultigrid 0.4.0
AMDGPUnative 0.3.2
EAGO 0.6.0
GeophysicalFlows 0.11.4
Hyperscript 0.0.4
IRTools 0.4.2
RandomMatrices 0.5.0
SemanticModels 0.4.0
Suppressor 0.2.0
WordTokenizers 0.5.6
AlgebraOfGraphics 0.2.4
Cascadia 1.0.1
CausalInference 0.5.6
Circuitscape 5.7.1
Comonicon 0.10.2
Memento 1.1.2
PkgDev 1.6.0
PowerModelsDistribution 0.10.2
ReachabilityAnalysis 0.10.0
Remark 0.3.0
ControlSystemIdentification 1.4.0
DualNumbers 0.6.3
GaussianMixtures 0.3.4
LineSearches 7.1.1
NetworkDynamics 0.5.1
OpenStreetMapX 0.2.3
ParameterizedFunctions 5.9.0
Parametron 0.9.1
Pathogen 0.4.12
PDMats 0.11.0
TiledIteration 0.3.0
VulkanCore 1.2.2
JLSO 2.5.0
ManifoldLearning 0.6.2
Metatheory 0.1.1
NonlinearEigenproblems 1.0.2
Parsers 1.0.15
PDFIO 0.1.12
Plasmo 0.3.3
ReservoirComputing 0.6.2
StochDynamicProgramming 0.6.0
Tokenize 0.5.13
AutoPreallocation 0.3.1
EcologicalNetworks 0.4.1
ImageProjectiveGeometry 0.3.2
jlpkg 1.3.2
Meshes 0.10.1
oneAPI 0.1.1
PhysicalConstants 0.2.1
Quaternions 0.4.1
TSAnalysis 0.1.4
TSML 2.6.3
WebAssembly 0.1.1
BayesianOptimization 0.2.5
ColorSchemes 3.10.2
ExcelReaders 0.11.0
GLPK 0.14.6
GPUifyLoops 0.2.9
Kronecker 0.4.2
NetworkLayout 0.3.0
TensorNetworkAD 0.1.0
TikzGraphs 1.1.0
ImageFiltering 0.6.20
TikzPictures 3.3.2
Twitter 0.8.1
Underscores 2.0.0
Animations 0.4.1
DataArrays 0.7.0
IntelVectorMath 0.4.0
MLJBase 0.17.3
ShallowWaters 0.4.1
TaylorIntegration 0.8.8
Yeppp 0.4.0
Avalon 0.1.0
Cairo 1.0.5
CodeTracking 1.0.5
DocumentFormat 3.2.3
Julog 0.1.9
PiGPIO 0.2.0
ProbabilisticCircuits 0.2.2
CBinding 0.9.4
Complementarity 0.8.0
FEniCS 0.4.0
InteractiveCodeSearch 0.3.2
LinearOperators 1.2.0
MakieLayout 0.9.10
Merly 1.0.2
Miletus 1.0.0
MLJFlux 0.1.7
NPZ 0.4.1
Parquet 0.8.0
ProxSDP 1.6.1
StructuredOptimization 0.2.3
ArgCheck 2.1.0
BinDeps 1.0.2
Cuba 2.2.0
ElectronDisplay 1.0.1
Embeddings 0.4.2
Flux3D 0.1.3
FunctionWrappers 1.1.2
LIBSVM 0.6.0
Quadrature 1.8.1
QuantumInformation 0.4.8
ReadableRegex 0.3.2
Sobol 1.4.0
Word2Vec 0.5.3
BangBang 0.3.30
Chess 0.5.0
ClustForOpt 0.4.2
DBInterface 2.4.0
DifferentialDynamicProgramming 0.4.0
EconPDEs 0.4.1
FilePaths 0.8.1
GFlops 0.1.3
ImageInTerminal 0.4.5
LoggingExtras 0.4.5
MappedArrays 0.3.0
MathLink 0.3.1
NIfTI 0.5.3
Tar 1.9.0
TimeSeriesClustering 0.5.3
AstroLib 0.4.0
BlockBandedMatrices 0.10.3
CatViews 1.0.0
Dualization 0.3.3
FreqTables 0.4.2
JuLIP 0.8.2
MsgPack 1.1.0
RigidBodySim 1.3.0
StatsMakie 0.2.3
TranscodingStreams 0.9.5
Cbc 0.7.1
DataKnots 0.10.1
DocStringExtensions 0.8.3
Espresso 0.6.1
ForwardDiff2 0.2.2
JDF 0.3.0
Nabla 0.12.3
PowerDynamics 2.4.2
PProf 2.0.1
SCIP 0.9.8
TerminalUserInterfaces 0.2.0
WGLMakie 0.3.3
COBRA 0.3.2
CommonMark 0.7.2
EvoTrees 0.6.0
Lilith 0.2.0
Loess 0.5.3
MatrixDepot 1.0.3
MLJModels 0.14.0
Mongoc 0.6.1
SampledSignals 2.1.0
ArbNumerics 1.2.4
CpuId 0.3.0
