modl,funcname,occurs,stable,size,file,line
OrdinaryDiffEq,handle_tstop!,29,0.4482758620689655,487,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/integrators/integrator_utils.jl,347
OrdinaryDiffEq,get_new_W!,2,0.5,70,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/nlsolve/utils.jl,26
OrdinaryDiffEq,_initialize_dae!,13,0.0,1109,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/initialize_dae.jl,209
StochasticDiffEq,handle_callbacks!,10,0.8,1177,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/integrators/integrator_utils.jl,230
OrdinaryDiffEq,build_nlsolver,3,0.0,2019,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/nlsolve/utils.jl,125
SciMLBase,tighten_container_eltype,1,1.0,38,/home/artem/.julia/packages/SciMLBase/sRVBG/src/ensemble/basic_ensemble_solve.jl,95
SciMLBase,EnsembleSolution,0,NaN,71,/home/artem/.julia/packages/SciMLBase/sRVBG/src/ensemble/ensemble_solutions.jl,30
SciMLBase,HermiteInterpolation,0,NaN,74,/home/artem/.julia/packages/SciMLBase/sRVBG/src/interpolation.jl,5
OrdinaryDiffEq,__init,8,0.375,1713,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/solve.jl,9
DiffEqBase,CallbackSet,0,NaN,56,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/callbacks.jl,319
DiffEqBase,ODE_DEFAULT_UNSTABLE_CHECK,7,1.0,50,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/common_defaults.jl,31
Base,convert,127,0.8267716535433071,43,number.jl,7
BandedMatrices,convert,1,0.0,64,/home/artem/.julia/packages/BandedMatrices/9Pkff/src/banded/BandedMatrix.jl,379
SciMLBase,#calculate_solution_errors!#330,7,0.0,1503,/home/artem/.julia/packages/SciMLBase/sRVBG/src/solutions/rode_solutions.jl,60
DiffEqBase,_vec,1,0.0,36,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/utils.jl,17
OrdinaryDiffEq,isesdirk,1,0.0,36,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/alg_utils.jl,645
OrdinaryDiffEq,unwrap_alg,28,0.4642857142857143,539,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/alg_utils.jl,573
SciMLBase,convert,1,0.0,48,/home/artem/.julia/packages/SciMLBase/sRVBG/src/operators/basic_operators.jl,49
OrdinaryDiffEq,alg_order,1,1.0,36,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/alg_utils.jl,375
StochasticDiffEq,modify_dt_for_tstops!,14,0.5714285714285714,1024,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/integrators/integrator_utils.jl,57
OrdinaryDiffEq,@dp5pre0,1,1.0,233,/home/artem/.julia/packages/SciMLBase/sRVBG/src/utils.jl,65
ForwardDiff,_mul_partials,1,1.0,88,/home/artem/.julia/packages/ForwardDiff/m7cm5/src/partials.jl,118
StochasticDiffEq,concrete_prob,3,1.0,36,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/solve.jl,12
ModelingToolkit,Differential,0,NaN,57,/home/artem/.julia/packages/ModelingToolkit/JtDFb/src/differentials.jl,34
SciMLBase,DiscreteProblem,0,NaN,74,/home/artem/.julia/packages/SciMLBase/sRVBG/src/problems/discrete_problems.jl,68
SciMLBase,convert,1,0.0,349,/home/artem/.julia/packages/SciMLBase/sRVBG/src/scimlfunctions.jl,1625
LibGit2,convert,1,1.0,112,/buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LibGit2/src/strarray.jl,13
ParameterizedFunctions,include,1,1.0,47,/home/artem/.julia/packages/ParameterizedFunctions/rd50h/src/ParameterizedFunctions.jl,3
OrdinaryDiffEq,Vern7InterpolationCoefficients,0,NaN,370,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/tableaus/verner_tableaus.jl,629
OrdinaryDiffEq,@vern6unpack,1,1.0,213,/home/artem/.julia/packages/SciMLBase/sRVBG/src/utils.jl,65
ModelingToolkit,#makesym#48,2,0.0,147,/home/artem/.julia/packages/ModelingToolkit/JtDFb/src/utils.jl,258
OrdinaryDiffEq,@owrenzen5pre2,1,1.0,525,/home/artem/.julia/packages/SciMLBase/sRVBG/src/utils.jl,65
StochasticDiffEq,alg_needs_extra_process,1,1.0,36,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/alg_utils.jl,210
DiffEqBase,#prob2dtmin#5,8,0.875,91,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/utils.jl,27
StochasticDiffEq,solve!,12,0.6666666666666666,886,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/solve.jl,566
DelayDiffEq,#_#18,2,0.0,70,/home/artem/.julia/packages/DelayDiffEq/kKc9V/src/integrators/type.jl,125
SciMLBase,EnsembleSolution,0,NaN,98,/home/artem/.julia/packages/SciMLBase/sRVBG/src/ensemble/ensemble_solutions.jl,28
Distributions,@distr_support,1,0.0,519,/home/artem/.julia/packages/Distributions/hAr7L/src/univariates.jl,139
SciMLBase,EnsembleDistributed,0,NaN,44,/home/artem/.julia/packages/SciMLBase/sRVBG/src/ensemble/basic_ensemble_solve.jl,14
SciMLBase,num_monte_warn,1,0.0,578,/home/artem/.julia/packages/SciMLBase/sRVBG/src/ensemble/basic_ensemble_solve.jl,46
DiffEqBase,calculate_residuals,1,1.0,117,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/calculate_residuals.jl,61
DiffEqNoiseProcess,include,1,1.0,47,/home/artem/.julia/packages/DiffEqNoiseProcess/tyLf7/src/DiffEqNoiseProcess.jl,1
Base,convert,4,0.5,60,show.jl,239
ModelingToolkit,hasderiv,2,0.0,105,/home/artem/.julia/packages/ModelingToolkit/JtDFb/src/differentials.jl,68
ModelingToolkit,convert,1,1.0,38,/home/artem/.julia/packages/ModelingToolkit/JtDFb/src/ModelingToolkit.jl,171
Unitful,print_opening_bracket,1,1.0,48,/home/artem/.julia/packages/Unitful/1t88N/src/display.jl,58
SciMLBase,SecondOrderODEProblem,0,NaN,82,/home/artem/.julia/packages/SciMLBase/sRVBG/src/problems/ode_problems.jl,157
DiffEqBase,get_concrete_u0,24,0.9166666666666666,303,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/solve.jl,195
OrdinaryDiffEq,#__init#400,33,0.0,11927,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/solve.jl,9
RecursiveArrayTools,copyat_or_push!,37,0.2702702702702703,66,/home/artem/.julia/packages/RecursiveArrayTools/69f7F/src/utils.jl,61
StochasticDiffEq,get_current_alg_order,2,0.0,76,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/alg_utils.jl,101
SciMLBase,convert,1,0.0,38,/home/artem/.julia/packages/SciMLBase/sRVBG/src/scimlfunctions.jl,2136
DelayDiffEq,pop_discontinuity!,3,0.3333333333333333,78,/home/artem/.julia/packages/DelayDiffEq/kKc9V/src/integrators/utils.jl,256
DiffEqBase,apply_discrete_callback!,9,0.0,667,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/callbacks.jl,848
OrdinaryDiffEq,get_tmp_cache,4,0.0,103,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/integrators/integrator_interface.jl,92
DiffEqJump,__solve,1,0.0,84,/home/artem/.julia/packages/DiffEqJump/qzmdL/src/solve.jl,1
SciMLBase,#_#13,7,0.14285714285714285,123,/home/artem/.julia/packages/SciMLBase/sRVBG/src/scimlfunctions.jl,496
RecursiveArrayTools,#s20#32,1,0.0,99,none,0
OrdinaryDiffEq,get_tmp_cache,9,0.2222222222222222,59,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/integrators/integrator_interface.jl,82
OrdinaryDiffEq,__init,6,0.5,59,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/solve.jl,9
Unitful,name,8,0.875,38,/home/artem/.julia/packages/Unitful/1t88N/src/types.jl,22
LinearAlgebra,convert,1,1.0,69,/buildworker/worker/package_linux64/build/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/bidiag.jl,186
DiffEqBase,CallbackSet,0,NaN,66,/home/artem/.julia/packages/DiffEqBase/FMY9y/src/callbacks.jl,314
OrdinaryDiffEq,DPRKN8,0,NaN,46,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/algorithms.jl,1237
ModelingToolkit,states,1,0.0,88,/home/artem/.julia/packages/ModelingToolkit/JtDFb/src/systems/abstractsystem.jl,278
StochasticDiffEq,savevalues!,10,0.8,48,/home/artem/.julia/packages/StochasticDiffEq/MzqBB/src/integrators/integrator_utils.jl,89
OrdinaryDiffEq,Rosenbrock23ConstantCache,0,NaN,104,/home/artem/.julia/packages/OrdinaryDiffEq/hHILQ/src/caches/rosenbrock_caches.jl,110
ArrayInterface,Colon,3,0.3333333333333333,57,/home/artem/.julia/packages/ArrayInterface/gMtB5/src/ranges.jl,198
Base.CoreLogging,convert,1,1.0,45,logging.jl,118
