package,instances,stable,fail
DifferentialEquations,7321,3821,48
Flux,4284,3286,0
Gadfly,42878,31352,68
Gen,1575,957,2
Genie,1401,1139,0
IJulia,134,86,0
JSON,667,515,0
JuMP,30643,19739,1
Knet,9022,3072,0
Plots,5096,3132,0
Pluto,81083,55164,96
